learner_id,name,affiliation
1,John Beal,Legg Mason Inc.
2,Micayla Heath,Emcor Group Inc.
3,Freddy Pena,New Jersey Resources Corporation
4,Layne Nance,Owens-Illinois Inc
5,Kaylee Hershberger,Jones Apparel Group Inc.
6,Alora Valle,Solectron Corp
7,Heath Hildebrand,Universal Health Services Inc
8,Kaiya Grabowski,Sealed Air Corp
9,Roland Farris,Parker Hannifin Corp.
10,Alisa Pyle,Watsco Inc
11,Lukas McClanahan,SunTrust Banks Inc
12,Jaylan Doan,Ceridian Corp.
13,Kaya Hanson,PerkinElmer Inc
14,Brooklynn Birch,Allmerica Financial Corporation
15,Arron Pickens,Teradyne Inc
16,Sam Henriquez,American Greetings Corporation
17,Abril Vo,Boston Scientific Corporation
18,Payton Gustafson,Nacco Industries Inc
19,Amia Mulligan,Nucor Corp
20,Haleigh Washington,Southern Union Company
21,Benton Farrington,Graybar Electric Company Inc.
22,Neha Dorman,St. Jude Medical Inc
23,Giancarlo Villegas,Williams Companies Inc
24,India Noland,Hovnanian Enterprises Inc.
25,Katelynn Hu,The MONY Group Inc.
26,August Horst,KPMG Consulting Inc.
27,Citlalli Dozier,Burlington Coat Factory Warehouse Corporation
28,Kalvin Saavedra,Foot Locker Inc
29,Dasia Crowe,Lennar Corporation
30,Brady McMillan,Valspar Corporation
31,Ingrid Grice,Rite Aid Corp
32,Maxim Leon,Wells Fargo & Company
33,Guy Wilbur,Ceridian Corp.
34,Hayley Maas,Hibernia Corp.
35,Valerie Snell,SCI Systems Onc.
36,Ellis Hall,First Tennessee National Corp.
37,Amy Moya,McLeodUSA Incorporated
38,Cameron Tackett,CNF Inc.
39,Allen Floyd,Ashland Inc.
40,Josef Skaggs,USFreighways Corporation
41,Andy Martino,Georgia Gulf Corporation
42,Robyn Alicea,C. H. Robinson Worldwide Inc.
43,Ana Broderick,ServiceMaster Co
44,Dezmond Tovar,Ohio Casualty Corp.
45,Terrell Loera,WPS Resources Corporation
46,Fiona Spaulding,Outback Steakhouse Inc.
47,Raekwon Chapin,Smurfit-Stone Container Corp
48,Corrine Covey,Gateway Inc.
49,Milan Medrano,Polaris Industries Inc.
50,Bryon Meador,C. H. Robinson Worldwide Inc.
51,Levi Burnside,General Dynamics Corporation
52,Ronald Logsdon,Abbott Laboratories
53,Cruz Fugate,Reliance Steel & Aluminum Co.
54,Demetrius Ammons,National City Corp.
55,Jordan Conway,Countrywide Credit Industries Inc.
56,Holly Pfeifer,Gemstar-TV Guide International Inc.
57,Jaiden Frye,SunTrust Banks Inc
58,Brett Bonds,National Rural Utilities Cooperative Finance Corporation
59,Dania Greer,Hillenbrand Industries Inc.
60,Amiah Dias,Atmel Corporation
61,Shawna Kirk,Pantry Inc
62,Blaze Spring,Mirant Corporation
63,Nolan Davies,Cabot Corp
64,Isabella Rosen,International Multifoods Corporation
65,Waylon Baldwin,US Oncology Inc
66,Javon Briones,Questar Corp
67,Jaime Dietz,Tektronix Inc
68,Vernon Cordova,Texas Industries Inc.
69,Danae Colvin,CKE Restaurants Inc.
70,Joanne Coronado,M & T Bank Corporation
71,Sharon Stern,Conseco Inc.
72,Reilly Hannah,PerkinElmer Inc
73,Brionna Staggs,Footstar Inc.
74,Yosef Littleton,Legg Mason Inc.
75,Elisa Shook,Precision Castparts Corp
76,Grayson Miller,TransMontaigne Inc
77,Irene Vega,Anadarko Petroleum Corporation
78,Shannon Rojas,Flowers Foods Inc.
79,Patrick Odom,Sonoco Products Co.
80,Carina Lange,Lennox International Inc.
81,Colleen Hubbard,AMR Corporation
82,Estevan Street,Storage Technology Corporation
83,Jonatan Poston,Pulte Homes Inc
84,Mikael Escobar,Progressive Corporation
